EAR,MAR,Pitch,Yaw,Label
0.7,0.829718836654485,9.375,5.34375,Focused
1.0,0.8230624694212579,9.375,5.34375,Focused
0.7,0.8194474041402295,9.375,5.34375,Focused
1.0,0.806554005428118,9.375,5.0625,Focused
0.7,0.7941505965714927,9.75,5.0625,Focused
1.0,0.7778084216913919,9.375,4.5,Focused
0.7,0.7808667239692988,9.75,5.0625,Focused
1.2999999999999998,0.7700027088620159,9.375,4.78125,Focused
0.7,0.7600515762867892,9.375,4.5,Focused
0.7,0.7581945940821108,10.125,5.0625,Focused
1.0,0.7316671611241925,12.375000000000002,2.25,Drowsy
0.7,0.736669618250951,11.25,3.0937500000000004,Drowsy
0.7,0.7519673663079831,10.5,3.375,Drowsy
1.2999999999999998,0.7543417822417272,10.125,3.0937500000000004,Drowsy
1.2999999999999998,0.7442085910475974,10.875,3.0937500000000004,Drowsy
1.0,0.7520029993009548,11.25,2.53125,Drowsy
1.0,0.7474915397184558,10.875,2.8125,Drowsy
0.4,0.7933418050230349,71.25,59.34375000000001,Drowsy
1.0,0.7664179621414391,11.25,2.53125,Drowsy
1.2999999999999998,0.7509700197560837,11.625000000000002,2.8125,Drowsy
1.2999999999999998,0.7561068716880073,11.625000000000002,2.53125,Drowsy
1.0,0.7378380424467623,11.625000000000002,2.25,Drowsy
1.2999999999999998,0.7334109824518157,11.625000000000002,2.25,Drowsy
1.2999999999999998,0.7328501723601639,11.625000000000002,2.53125,Drowsy
1.0,0.7502268191339769,11.625000000000002,2.8125,Drowsy
0.7,0.7421230744541221,13.5,3.0937500000000004,Drowsy
1.0,0.7317737029066805,13.125,2.53125,Drowsy
0.7,0.7304986355722473,13.5,2.53125,Drowsy
1.0,0.7370561224018509,13.875,3.0937500000000004,Drowsy
1.0,0.7327856386753361,13.125,3.0937500000000004,Drowsy
1.2999999999999998,0.729784251578014,13.5,3.65625,Drowsy
1.0,0.7195865211964539,13.5,3.9374999999999996,Drowsy
1.2999999999999998,0.725729318434859,13.5,3.9374999999999996,Drowsy
1.0,0.7182149608999912,13.5,4.21875,Drowsy
1.0,0.7176071914671551,13.125,4.21875,Drowsy
0.4,0.8182896457703714,71.625,59.625,Drowsy
1.2999999999999998,0.7186899018603673,14.25,4.21875,Drowsy
1.0,0.7211248812268275,15.375,4.5,Drowsy
0.7,0.715987259681551,15.375,3.9374999999999996,Drowsy
1.0,0.7208576503803221,15.749999999999998,4.5,Drowsy
1.2999999999999998,0.7192303813800497,16.125,3.9374999999999996,Drowsy
1.0,0.7196465077386044,15.375,3.9374999999999996,Drowsy
1.2999999999999998,0.7239294334917469,13.5,4.5,Drowsy
1.0,0.727667296496746,13.875,4.21875,Drowsy
1.0,0.7311930360364532,13.875,3.65625,Drowsy
1.0,0.7310537499494848,12.75,4.5,Drowsy
1.0,0.731068583445465,13.125,4.78125,Drowsy
1.2999999999999998,0.7306781404014082,13.5,5.0625,Drowsy
1.0,0.7283226682052719,14.625,4.78125,Drowsy
1.0,0.7235592466646559,15.375,5.34375,Drowsy
1.0,0.7203797163991689,15.375,5.0625,Drowsy
1.0,0.7204695585240016,15.749999999999998,5.34375,Drowsy
1.2999999999999998,0.7205875101085222,15.375,5.34375,Drowsy
1.0,0.7213685134440888,15.749999999999998,5.625,Drowsy
1.2999999999999998,0.720150944463591,15.375,5.34375,Drowsy
1.2999999999999998,0.721579489588835,14.625,5.34375,Drowsy
1.0,0.7175956433079743,13.875,4.5,Drowsy
1.0,0.7304681111173973,14.625,4.78125,Drowsy
0.4,0.8348885542663511,72.375,59.625,Drowsy
1.2999999999999998,0.7251619010505059,14.625,5.0625,Drowsy
1.0,0.7283512180879531,16.5,5.0625,Drowsy
1.2999999999999998,0.7260278866722394,16.125,4.5,Drowsy
1.0,0.7238859486908212,16.5,4.78125,Drowsy
0.4,0.8382964267022084,72.0,59.0625,Drowsy
1.2999999999999998,0.7309228990807555,15.749999999999998,4.78125,Drowsy
1.0,0.7321070300499986,14.625,4.5,Drowsy
1.0,0.7365978721795803,14.25,4.5,Drowsy
1.2999999999999998,0.721242237339184,13.5,4.78125,Drowsy
0.7,0.716608356369554,13.875,5.0625,Drowsy
1.2999999999999998,0.7165717437837138,13.5,5.34375,Drowsy
1.2999999999999998,0.721771539493935,14.625,5.625,Drowsy
1.2999999999999998,0.7297172037895759,15.0,5.0625,Drowsy
1.0,0.7203449792977727,16.125,5.0625,Drowsy
1.0,0.710178146964134,17.625,9.28125,Drowsy
1.0,0.7194773797040367,17.625,7.874999999999999,Drowsy
1.0,0.7205036038409045,17.25,9.28125,Drowsy
0.7,0.7366339923442518,15.0,3.9374999999999996,Drowsy
0.7,0.759778990038456,15.749999999999998,-4.5,Drowsy
0.7,0.9589362902186274,22.5,12.65625,Looking Away
1.0,0.8276073045972305,22.5,12.65625,Looking Away
1.0,0.9043977001816724,22.125,12.937499999999998,Looking Away
0.7,0.9087448587667066,21.375,12.937499999999998,Looking Away
1.0,0.8981450423668139,21.75,12.375000000000002,Looking Away
0.7,0.8016842589298335,21.75,12.09375,Looking Away
0.7,0.9722404345245758,24.0,13.21875,Looking Away
0.7,0.9514550553626375,22.875,12.937499999999998,Looking Away
0.7,1.013044798401104,24.0,12.65625,Looking Away
1.2999999999999998,0.7213899547247035,22.5,9.84375,Looking Away
0.7,0.7586742695939273,22.125,10.96875,Looking Away
0.7,0.7463699507788374,21.375,11.531249999999998,Looking Away
1.0,0.7509350072420525,21.375,10.96875,Looking Away
1.0,0.7256463931803238,21.375,10.125,Looking Away
0.7,0.7973401281630995,21.0,10.125,Looking Away
1.2999999999999998,0.8063406055549539,21.0,9.28125,Looking Away
1.0,0.7920418216169327,20.625,9.28125,Looking Away
0.7,0.7489904693229466,20.625,8.15625,Looking Away
0.7,0.7205677173770598,20.625,7.874999999999999,Looking Away
1.2999999999999998,0.7347575292710861,19.875,8.15625,Looking Away
1.0,0.6870005615474869,18.75,7.3125,Looking Away
1.0,0.6943911011311382,17.625,7.03125,Looking Away
1.0,0.6989612794010911,17.625,6.75,Looking Away
0.7,0.7002737225523517,16.875,6.75,Looking Away
1.0,0.7088776704233131,16.5,6.75,Looking Away
0.7,0.7112885165746559,16.125,7.03125,Looking Away
0.7,0.7174453166537303,15.375,6.468749999999999,Looking Away
0.7,0.7165385993882981,15.375,6.187500000000001,Looking Away
0.7,0.718485484464929,15.375,6.187500000000001,Looking Away
1.0,0.718230276393313,16.125,6.187500000000001,Looking Away
1.0,0.7149455134188143,15.749999999999998,5.90625,Looking Away
1.0,0.7156248058365636,15.375,5.34375,Looking Away
1.2999999999999998,0.7284424998833842,15.375,4.21875,Looking Away
1.0,0.7238557146091605,15.375,4.5,Looking Away
1.2999999999999998,0.7265182672375662,14.625,4.78125,Looking Away
0.7,0.7199330756790939,14.25,4.21875,Looking Away
1.0,0.729774808605218,19.125,-7.03125,Looking Away
0.7,0.7359501129689021,21.375,-10.40625,Looking Away
0.7,0.7356315536531597,21.75,-10.40625,Looking Away
0.7,0.7516595782887308,21.375,-11.531249999999998,Looking Away
0.7,0.742174672527059,21.0,-12.375000000000002,Looking Away
0.7,0.7394961386852178,21.375,-12.09375,Looking Away
